159 3324   D 159 23228 318
213 3265   D 213 4864 426
133 300221   D 133 339132 266
86 9788   D 86 30275 172
216 184274   D 216 423434 432
53 706935   D 53 713467 106
123 432665   D 123 449447 246
68 708311   D 68 717756 136
55 322682   D 55 672637 110
57 230177   D 57 696074 114
85 177058   D 85 732617 170
81 282281   D 81 477995 162
190 255969   D 190 483136 380
57 161522   D 57 451894 114
156 570   D 156 8921 312
61 531193   D 61 642997 122
197 330646   D 197 459880 394
119 216979   D 119 503198 238
186 580279   D 186 581211 372
247 195838   D 247 421970 494
71 655118   D 71 724262 142
50 209578   D 50 434001 100
283 117572   D 283 317884 566
291 85699   D 291 102178 582
62 424698   D 62 620357 124
52 352910   D 52 509555 104
70 428349   D 70 661141 140
87 410766   D 87 423067 174
82 94035   D 82 111562 164
326 183015   D 326 211131 652
155 225481   D 155 517234 310
124 264541   D 124 514043 248
58 450004   D 58 607433 116
107 20302   D 107 527974 214
164 223458   D 164 548943 328
94 94528   D 94 104495 188
81 522558   D 81 574232 162
53 158474   D 53 501371 106
213 168531   D 213 301782 426
84 721558   D 84 755690 168
54 271019   D 54 322340 108
124 94673   D 124 104640 248
54 338476   D 54 657065 108
144 24368   D 144 36366 288
194 143298   D 194 512355 388
180 272777   D 180 377540 360
274 211105   D 274 327661 548
78 192338   D 78 623013 156
116 20185   D 116 527857 232
149 621775   D 149 622124 298
53 376639   D 53 377184 106
85 360482   D 85 562668 170
145 209059   D 145 262083 290
229 233328   D 229 236733 458
141 387784   D 141 416001 282
280 208157   D 280 434771 560
279 195463   D 279 247874 558
143 202332   D 143 455198 286
82 621843   D 82 623208 164
52 140744   D 52 563928 104
76 223623   D 76 549108 152
78 136426   D 78 664333 156
148 349845   D 148 561218 296
103 509273   D 103 691570 206
182 642596   D 182 712102 364
194 92473   D 194 105087 388
286 355743   D 286 358175 572
138 176801   D 138 541698 276
303 482091   D 303 608803 606
68 217699   D 68 430257 136
58 429982   D 58 609441 116
71 263370   D 71 534728 142
87 302248   D 87 399619 174
60 449943   D 60 607372 120
159 157918   D 159 612586 318
148 221088   D 148 711044 296
96 220857   D 96 416189 192
161 265853   D 161 479738 322
298 185496   D 298 372620 596
50 417944   D 50 574985 100
81 387949   D 81 416166 162
156 708683   D 156 732473 312
84 622651   D 84 624906 168
170 492866   D 170 528242 340
58 225634   D 58 477105 116
137 83422   D 137 105837 274
253 225826   D 253 300517 506
294 359063   D 294 521587 588
62 591108   D 62 632541 124
153 631591   D 153 632838 306
214 229024   D 214 305953 428
60 349822   D 60 676813 120
63 75888   D 63 146717 126
80 367013   D 80 492509 160
158 289836   D 158 337227 316
316 1134   D 316 9010 632
53 161717   D 53 452089 106
167 275180   D 167 280831 334
82 339206   D 82 376441 164
79 580199   D 79 581131 158
152 216826   D 152 503045 304
109 451683   D 109 605452 218
70 289595   D 70 592959 140
68 698583   D 68 744948 136
164 225506   D 164 246815 328
169 458624   D 169 492518 338
80 253058   D 80 556923 160
91 756799   D 91 757235 182
248 577347   D 248 607721 496
165 1451   D 165 9327 330
68 364412   D 68 669894 136
71 141806   D 71 540334 142
51 174074   D 51 727576 102
58 650917   D 58 728510 116
174 255965   D 174 347145 348
59 117965   D 59 118005 118
72 221237   D 72 711193 144
60 289489   D 60 592859 120
235 86633   D 235 104176 470
58 169398   D 58 606546 116
84 174166   D 84 727668 168
58 217808   D 58 430366 116
56 356287   D 56 423169 112
57 53750   D 57 211562 114
301 165665   D 301 327180 602
77 213706   D 77 259749 154
213 297990   D 213 565149 426
56 468270   D 56 540156 112
